keys,en,zh_CN
"Tip: every shop slot rolls independently — rarity odds are 50/30/15/5, so an epic on the board is a rare treat.","Tip: every shop slot rolls independently — rarity odds are 50/30/15/5, so an epic on the board is a rare treat.",提示：商店每个栏位独立随机——稀有度概率为 50/30/15/5，牌面上出现史诗实属难得。
Tip: free rerolls bank up and never expire — spend them freely when the board is bad.,Tip: free rerolls bank up and never expire — spend them freely when the board is bad.,提示：免费重投可以攒着且永不过期——牌面不好就放心用。
"Tip: damage types matter — piercing, siege and magic each punish different armor, and the typed +25% upgrades compound.","Tip: damage types matter — piercing, siege and magic each punish different armor, and the typed +25% upgrades compound.",提示：伤害类型很重要——穿刺、攻城、魔法各克不同护甲，对应的 +25% 强化收益还会叠加。
Tip: economy compounds — income early snowballs into weapons late; pure greed and pure guns are both risky.,Tip: economy compounds — income early snowballs into weapons late; pure greed and pure guns are both risky.,提示：经济会滚雪球——前期攒收入，后期换武器；纯贪金和纯火力都有风险。
"Tip: Deep Freeze is an upgrade — without it 25 Frost stacks never freeze; with it, frozen enemies take +50% damage.","Tip: Deep Freeze is an upgrade — without it 25 Frost stacks never freeze; with it, frozen enemies take +50% damage.",提示：深度冻结是一件强化——没有它，25 层冰霜也不会冻结；有了它，冻结的敌人多受 50% 伤害。
%d NEW,%d NEW,%d 个新成就
NEW,NEW,新
Restart Run,Restart Run,重新开始本局
RESTART RUN?,RESTART RUN?,重新开始本局？
This run is still live — restarting abandons it.,This run is still live — restarting abandons it.,本局仍在进行中——重新开始将放弃这局。
SINGLE,SINGLE,单体
SPLASH,SPLASH,溅射
BARRAGE,BARRAGE,弹幕
AREA,AREA,范围
WAVE,WAVE,冲击波
BOUNCE,BOUNCE,弹射链
SYNERGIES,SYNERGIES,协同
+%d more,+%d more,另有 %d 项
+%d%% %s — %s ×%d,+%d%% %s — %s ×%d,+%d%% %s — %s ×%d
Piercing,Piercing,穿刺
Magic,Magic,魔法
Siege,Siege,攻城
Chaos,Chaos,混沌
YOU: %s  ·  [Esc] leave,YOU: %s  ·  [Esc] leave,你：%s  ·  [Esc] 离开
CLEAR READY,CLEAR READY,清场就绪
CLEAR %ds,CLEAR %ds,清场 %d 秒
ABANDON MATCH?,ABANDON MATCH?,放弃对局？
Your rivals keep fighting — a live net match never pauses.,Your rivals keep fighting — a live net match never pauses.,你的对手仍在战斗——联网对局永不暂停。
[Enter] leave match   ·   [Esc] keep playing,[Enter] leave match   ·   [Esc] keep playing,[Enter] 离开对局   ·   [Esc] 继续战斗
